Settore Merceologico;Insegna;Ubicazione;Tipo Via;Via;Civico;Codice Via;ZD;Superficie vendita;Superficie altri usi;Superficie totale
"alimentare;non alimentare";il gigante;"VIA LORENTEGGIO N. 3 ; isolato:152; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;3;5132;6;1320;;1320
"alimentare;non alimentare";il mercatino di via arbe;"VIA ARBE N. 47 interno superspacci alimentari; isolato:086; accesso: accesso esterno; (z.d. 2)";VIA;ARBE;47;1352;2;256;80;336
"alimentare;non alimentare";in s mercato;"VIA APELLE num.036/38; isolato:113; accesso: accesso esterno; (z.d. 2)";VIA;APELLE;;2454;2;583;;583
"alimentare;non alimentare";in s mercato;"VIA BASSO LELIO N. 8 int. m.c.c.; isolato:111; accesso: accesso interno; (z.d. 5)";VIA;BASSO LELIO;8;5453;5;750;;750
"alimentare;non alimentare";in s mercato;"VIA CLITUMNO N. 20 ; isolato:317; accesso: accesso esterno; (z.d. 2)";VIA;CLITUMNO;20;2367;2;600;;600
"alimentare;non alimentare";in s mercato;"VIA LUDOVICO DI BREME N. 48 ; isolato:226; accesso: accesso interno; (z.d. 8)";VIA;LUDOVICO DI BREME;48;7396;8;600;;600
"alimentare;non alimentare";in s mercato;"VIA PINDARO N. 7 ; isolato:033; accesso: accesso esterno; (z.d. 2)";VIA;PINDARO;7;2401;2;600;;600
"alimentare;non alimentare";in s mercato;"VIA VARESINA N. 25 ; isolato:271; accesso: accesso esterno; (z.d. 8)";VIA;VARESINA;25;7290;8;399;;399
"alimentare;non alimentare";in s mercato;"VLE MARCHE N. 97 ; isolato:157; accesso: accesso esterno; (z.d. 9)";VLE;MARCHE;97;1360;9;600;;600
"alimentare;non alimentare";io brico;"VIA ORSINI VINCENZO GIORDANO N. 2 ; isolato:207; accesso: accesso esterno; (z.d. 7)";VIA;ORSINI VINCENZO GIORDANO;2;6648;7;1691;159;1850
"alimentare;non alimentare";ipercoop;"PLE LODI N. 3 viale umbria ang. v.p.colletta; accesso: accesso interno; (z.d. 4)";PLE;LODI;3;4249;4;4125;;4125
"alimentare;non alimentare";ipercoop;"VIA GOZZOLI BENOZZO N. 130 centro commerciale iper coop; accesso: accesso esterno; (z.d. 7)";VIA;GOZZOLI BENOZZO;130;6789;7;5660;;8000
"alimentare;non alimentare";ipercoop;"VIA MARCHESI POMPEO num.005; accesso: accesso esterno; (z.d. 7)";VIA;CARNEVALI ANTONIO;116;1268;9;1035;;1035
"alimentare;non alimentare";ipercoop;"VIA QUARENGHI GIACOMO N. 23 centro commerciale bonola; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;560;;560
"alimentare;non alimentare";ipercoop;"VIA QUARENGHI GIACOMO N. 23 ; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;3990;;3990
"alimentare;non alimentare";iper portello;"VIA PALAZZOLO DON LUIGI N. 20 area ex portello; isolato:249; accesso: accesso esterno; (z.d. 8)";VIA;PALAZZOLO DON LUIGI;20;7522;8;5403;;6500
"alimentare;non alimentare";iperstanda;"VIA TRIVULZIO ANTONIO TOLOMEO N. 12 ; isolato:007; accesso: accesso esterno; (z.d. 7)";VIA;TRIVULZIO ANTONIO TOLOMEO;12;6277;7;3200;2164;5570
"alimentare;non alimentare";italbar;"VIA TRIVULZIO ANTONIO TOLOMEO N. 15 ; isolato:014; accesso: accesso interno; (z.d. 7)";VIA;TRIVULZIO ANTONIO TOLOMEO;15;6277;7;257;;257
"alimentare;non alimentare";kathay china food store;"VIA ROSMINI ANTONIO N. 11 ; isolato:110; accesso: accesso esterno; (z.d. 1)";VIA;ROSMINI ANTONIO;11;7132;1;259;;259
"alimentare;non alimentare";la coloniale;"CSO GENOVA N. 19 ; isolato:132; accesso: accesso esterno; (z.d. 1)";CSO;GENOVA;19;5164;1;350;;350
"alimentare;non alimentare";la rinascente s.p.a.;"VLE CERTOSA N. 29 ; isolato:330; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;29;7174;8;6350;;10020
"alimentare;non alimentare";ld discount;"VIA SAN RAFAEL DELLE ANDE num.006/8; isolato:067; accesso: accesso esterno; (z.d. 2)";VIA;SAN RAFAEL DELLE ANDE;;1457;2;490;;490
"alimentare;non alimentare";ld market;"VIA RUBENS PIETRO N. 8 ; isolato:119; accesso: accesso esterno; (z.d. 7)";VIA;RUBENS PIETRO;8;6597;7;498;;832
"alimentare;non alimentare";licenza madre ce de angel;"VIA DE ANGELI CARLO N. 1 ex v. pompeo leoni 18 pru 1.1; accesso: accesso interno; (z.d. 5)";VIA;DE ANGELI CARLO;1;4326;5;4900;;8985
"alimentare;non alimentare";licenza madre ce palizzi;"VIA PALIZZI FILIPPO N. 69 ; accesso: accesso esterno; (z.d. 8)";VIA;PALIZZI FILIPPO;69;7451;8;5960;;10000
"alimentare;non alimentare";lidl;"LARGO BALESTRA ANTONIO N. 3 m.c.c. discount; isolato:158; accesso: accesso interno; (z.d. 6)";LARGO;BALESTRA ANTONIO;3;5464;6;896;875;1771
"alimentare;non alimentare";lidl;VIA CEFALU' N. 2 (z.d. 8);VIA;CEFALU';2;7370;8;884;;1139
"alimentare;non alimentare";lidl;"VIA DELLA CHIESA ROSSA N. 43 ; isolato:042; accesso: area ap.rec.; (z.d. 5)";VIA;DELLA CHIESA ROSSA;43;5321;5;1270;;1981
"alimentare;non alimentare";lidl;"VIA GRASSI GIOVANNI BATTISTA N. 15 ; isolato:088; accesso: accesso esterno; (z.d. 8)";VIA;GRASSI GIOVANNI BATTISTA;15;7465;8;900;;900
"alimentare;non alimentare";lidl;"VIA LORENTEGGIO N. 240 ; isolato:051; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;240;5132;6;1112;;1377
"alimentare;non alimentare";lidl;"VIA PESTALOZZI GIOVANNI ENRICO N. 21 ; isolato:009; accesso: accesso esterno; (z.d. 6)";VIA;PESTALOZZI GIOVANNI ENRICO;21;5294;6;856;;856
"alimentare;non alimentare";lidl;"VIA SACCARDO PIETRO ANDREA N. 22 ; isolato:128; accesso: accesso esterno; (z.d. 3)";VIA;SACCARDO PIETRO ANDREA;22;2665;3;750;;750
"alimentare;non alimentare";lidl;"VLE CASSALA N. 14 ; isolato:153; accesso: area ap.rec.; (z.d. 6)";VLE;CASSALA;14;5275;6;1154;;1353
"alimentare;non alimentare";lidl;"VLE ORTLES N. 7 ; isolato:044; accesso: accesso esterno; (z.d. 5)";VLE;ORTLES;7;4133;5;892;;892
"alimentare;non alimentare";lidl;"VLE TIBALDI num.040/1; isolato:066; accesso: accesso esterno; (z.d. 5)";VLE;TIBALDI;;5234;5;674;;857
"alimentare;non alimentare";lidl supermarket;"VIA VALASSINA N. 12 ; isolato:073; accesso: accesso esterno; (z.d. 9)";VIA;VALASSINA;12;1314;9;1300;;1568
"alimentare;non alimentare";longoni sport punto giall;"VIA GIOVANNI DA PROCIDA ang. v. arona 15 num.000; isolato:040; accesso: accesso esterno; (z.d. 8)";VIA;CEFALONIA;10;7439;8;2400;;2400
"alimentare;non alimentare";messaggerie musicali;"GLL DEL CORSO N. 2 ang.vitt.emanuele interno;cso vittorio emanuele ii 022; isolato:360; accesso: accesso esterno; (z.d. 1)";GLL;DEL CORSO;2;305;1;2440;1010;3450
"alimentare;non alimentare";mondadori mulitcenter;"VIA MARGHERA N. 28 ; isolato:212; accesso: accesso esterno; (z.d. 7)";VIA;MARGHERA;28;6280;7;1810;;1900
"alimentare;non alimentare";naturasi;"VIA MILLELIRE DOMENICO N. 14 ; isolato:106; accesso: accesso interno; (z.d. 7)";VIA;MILLELIRE DOMENICO;14;6620;7;500;;775
"alimentare;non alimentare";natura si;"VIA FARA GUSTAVO N. 35 ; isolato:289; accesso: accesso esterno; (z.d. 9)";VIA;FARA GUSTAVO;35;1183;9;270;;270
"alimentare;non alimentare";oviesse;"CSO BUENOS AIRES N. 35 ; isolato:059; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;35;2129;3;3100;;3803
"alimentare;non alimentare";oviesse;"CSO GARIBALDI GIUSEPPE num.072/1; isolato:173; accesso: accesso esterno; (z.d. 1)";CSO;DI PORTA TICINESE;12;541;1;1300;;1328
"alimentare;non alimentare";oviesse;"VIA LORENTEGGIO ang. v. redaelli 2 num.000; isolato:125; accesso: accesso esterno; (z.d. 6)";RIP;DI PTA TICINESE;73;5150;6;1780;;5508
"alimentare;non alimentare";oviesse;"VIA OLTROCCHI BALDASSARE N. 11 ; isolato:079; accesso: accesso esterno; (z.d. 4)";VIA;OLTROCCHI BALDASSARE;11;3217;4;1209;;1523
"alimentare;non alimentare";oviesse;"VIA RIPAMONTI GIUSEPPE N. 175 ; isolato:109; accesso: accesso esterno; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;175;4066;5;1490;;2332
"alimentare;non alimentare";oviesse;"VIA RISMONDO FRANCESCO num.008; isolato:138; accesso: accesso esterno; (z.d. 7)";VIA;RISMONDO FRANCESCO;;6756;7;1800;;2240
"alimentare;non alimentare";pam;"VIA BAZZINI ANTONIO N. 33 ; isolato:047; accesso: accesso esterno; (z.d. 3)";VIA;BAZZINI ANTONIO;33;2427;3;920;;2027
"alimentare;non alimentare";pam;"VIA DELLE FORZE ARMATE N. 44 ; isolato:197; accesso: accesso esterno; (z.d. 7)";VIA;DELLE FORZE ARMATE;44;6643;7;1010;;1856
"alimentare;non alimentare";pam;"VIA FOPPA VINCENZO N. 33 ; isolato:006; accesso: accesso esterno; (z.d. 6)";VIA;FOPPA VINCENZO;33;6109;6;960;;2195
"alimentare;non alimentare";pam;"VIA INGANNI ANGELO num.085/89; isolato:048; accesso: accesso esterno; (z.d. 6)";VIA;BARONA;21;5356;6;1200;;2040
"alimentare;non alimentare";pam;"VIA OLONA N. 1 ; isolato:460; accesso: accesso esterno; (z.d. 1)";VIA;OLONA;1;5090;1;960;;1820
"alimentare;non alimentare";pam;"VIA PADOVA num.022; isolato:353; accesso: accesso esterno; (z.d. 2)";VLE;MONZA;113;2274;2;950;;1947
"alimentare;non alimentare";pam;"VIA PICCINNI NICOLA N. 2 ; isolato:027; accesso: accesso esterno; (z.d. 3)";VIA;PICCINNI NICOLA;2;2236;3;800;;2040
"alimentare;non alimentare";pam;"VIA STRIGELLI GAETANO N. 8 ; isolato:079; accesso: accesso esterno; (z.d. 4)";VIA;STRIGELLI GAETANO;8;3214;4;1100;;1974
"alimentare;non alimentare";pam;"VIA TOLSTOI LEONE N. 61 ; isolato:081; accesso: accesso esterno; (z.d. 6)";VIA;TOLSTOI LEONE;61;5133;6;850;;1797
"alimentare;non alimentare";pam;"VLE SABOTINO N. 6 ; isolato:171; accesso: accesso esterno; (z.d. 5)";VLE;SABOTINO;6;4046;5;900;;1822
"alimentare;non alimentare";pam;"VLE TIBALDI N. 35 ; isolato:164; accesso: accesso esterno; (z.d. 5)";VLE;TIBALDI;35;5234;5;800;;1691
"alimentare;non alimentare";pd discount;"VLE DORIA ANDREA N. 17 aff. az. tacit. rinnov.; isolato:033; accesso: accesso esterno; (z.d. 3)";VLE;DORIA ANDREA;17;2230;3;340;;443
"alimentare;non alimentare";peck;"VIA SPADARI num.007/9; isolato:440; accesso: accesso esterno; (z.d. 1)";VIA;SPADARI;;518;1;1160;;1160
"alimentare;non alimentare";penny market;"VIA ANTONINI GIACOMO N. 26 ; isolato:099; accesso: accesso esterno; (z.d. 5)";VIA;ANTONINI GIACOMO;26;4250;5;857;;1111
"alimentare;non alimentare";penny market;"VIA CARNEVALI ANTONIO N. 116 ; isolato:034; accesso: accesso interno; (z.d. 9)";VIA;CARNEVALI ANTONIO;116;1268;9;765;;0
"alimentare;non alimentare";penny market;"VIA MASSARA DE CAPITANI N. 15 ; isolato:036; accesso: area ap.rec.; (z.d. 9)";VIA;MASSARA DE CAPITANI;15;1261;9;680;;762
"alimentare;non alimentare";penny market;"VIA MONCUCCO num.036/a; accesso: accesso esterno; (z.d. 6)";VIA;MONCUCCO;;5320;6;540;;750
"alimentare;non alimentare";penny market;"VIA PADOVA N. 166 ; isolato:285; accesso: accesso esterno; (z.d. 2)";VIA;PADOVA;166;2275;2;893;;1161
"alimentare;non alimentare";penny market;"VIA ROSSI PELLEGRINO N. 46 ; isolato:190; accesso: accesso esterno; (z.d. 9)";VIA;ROSSI PELLEGRINO;46;1510;9;600;;935
"alimentare;non alimentare";penny market;"VIA STAMIRA D'ANCONA N. 28 ; isolato:195; accesso: area ap.rec.; (z.d. 2)";VIA;STAMIRA D'ANCONA;28;2337;2;510;;772
"alimentare;non alimentare";penny market;"VLE ESPINASSE CARLO N. 137 ; isolato:103; accesso: accesso esterno; (z.d. 8)";VLE;ESPINASSE CARLO;137;7390;8;662;;879
"alimentare;non alimentare";playlife;"PZA SANTA FRANCESCA ROMANA N. 3 ; isolato:108; accesso: accesso esterno; (z.d. 3)";PZA;SANTA FRANCESCA ROMANA;3;2183;3;395;;500
"alimentare;non alimentare";punto market;"VIA PONTI ETTORE N. 45 aff. az. tacit. rinnov.; isolato:042; accesso: area ap.rec.; (z.d. 6)";VIA;PONTI ETTORE;45;5297;6;470;;769
"alimentare;non alimentare";punto sma;"PLE BAIAMONTI ANTONIO N. 4 aff. az. tacit. rinnov.; isolato:313; accesso: accesso esterno; (z.d. 9)";PLE;BAIAMONTI ANTONIO;4;7235;9;355;;566
"alimentare;non alimentare";punto sma;"PZA BRUZZANO N. 5 aff. az. tacit. rinnov.; isolato:042; accesso: accesso esterno; (z.d. 9)";PZA;BRUZZANO;5;1655;9;380;50;1200
"alimentare;non alimentare";punto sma;"PZA NAPOLI N. 11 ; isolato:013; accesso: accesso esterno; (z.d. 6)";PZA;NAPOLI;11;5131;6;399;;399
"alimentare;non alimentare";punto sma;"VIA BUONARROTI MICHELANGELO N. 11 aff. az. tacit. rinnov.; isolato:194; accesso: accesso esterno; (z.d. 7)";VIA;BUONARROTI MICHELANGELO;11;6253;7;400;450;1030
"alimentare;non alimentare";punto sma;"VIA CANONICA LUIGI N. 54 aff. az. tacit. rinnov.; isolato:106; accesso: accesso esterno; (z.d. 1)";VIA;CANONICA LUIGI;54;7121;1;388;;833
"alimentare;non alimentare";punto sma;"VIA NOE ENRICO N. 43 aff. az. tacit. rinnov.; isolato:092; accesso: accesso esterno; (z.d. 3)";VIA;NOE ENRICO;43;2211;3;390;;390
"alimentare;non alimentare";punto sma;"VIA PIERO DELLA FRANCESCA N. 57 aff. az. tacit. rinnov.; isolato:025; accesso: accesso esterno; (z.d. 8)";VIA;PIERO DELLA FRANCESCA;57;7188;8;380;;410
"alimentare;non alimentare";punto sma;"VIA TARTINI GIUSEPPE aff. az. tacit. rinnov. num.003/a; isolato:057; accesso: accesso esterno; (z.d. 9)";VLE;ZARA;123;1170;9;505;;900
"alimentare;non alimentare";punto sma;"VIA VAL DI BONDO N. 15 aff. az. tacit. rinnov.; isolato:031; accesso: accesso esterno; (z.d. 9)";VIA;VAL DI BONDO;15;1648;9;295;;396
"alimentare;non alimentare";punto sma;"VIA VENINI GIULIO E CORRADO N. 37 aff. az. tacit. rinnov.; isolato:342; accesso: accesso esterno; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;37;2258;2;320;;721
"alimentare;non alimentare";punto sma;"VLE PISA N. 10 aff. az. tacit. rinnov.; isolato:200; accesso: accesso esterno; (z.d. 7)";VLE;PISA;10;6615;7;270;140;691
"alimentare;non alimentare";punto sma;"VLE STELVIO N. 47 aff. az. tacit. rinnov.; isolato:204; accesso: accesso esterno; (z.d. 9)";VLE;STELVIO;47;1227;9;700;;1187
"alimentare;non alimentare";quel che c e;"VIA OROBIA N. 11 ; isolato:014; accesso: accesso esterno; (z.d. 5)";VIA;OROBIA;11;4137;5;290;;290
"alimentare;non alimentare";salvini;"VIA SOLARI ANDREA N. 6 ; isolato:019; accesso: accesso esterno; (z.d. 6)";VIA;SOLARI ANDREA;6;5111;6;360;;360
"alimentare;non alimentare";si coop;"VIA LIVIGNO interno merc. comun. coperto num.020/22; isolato:067; accesso: accesso interno; (z.d. 9)";VIA;FIUGGI;33;1328;9;860;;1617
"alimentare;non alimentare";sma;"VIA DELLA FERRERA N. 18 centro commerciale 3 castelli; isolato:037; accesso: accesso esterno; (z.d. 6)";VIA;DELLA FERRERA;18;5451;6;1010;;2108
"alimentare;non alimentare";sma;"VIA F.LLI ANTONA TRAVERSI N. 18 ; isolato:061; accesso: accesso esterno; (z.d. 8)";VIA;F.LLI ANTONA TRAVERSI;18;7354;8;2272;;3288
"alimentare;non alimentare";sma;"VIA NOVARA N. 15 ; isolato:105; accesso: accesso esterno; (z.d. 7)";VIA;NOVARA;15;6624;7;4009;;6042
"alimentare;non alimentare";sma centro freschezza;"VIA MANCINI LODOVICO num.004/6; isolato:035; accesso: accesso esterno; (z.d. 4)";VIA;MANCINI LODOVICO;;3082;4;630;;1755
"alimentare;non alimentare";sma/simply;"VIA DELFICO MELCHIORRE N. 52 ; isolato:312; accesso: accesso esterno; (z.d. 8)";VIA;DELFICO MELCHIORRE;52;7250;8;1810;;3000
"alimentare;non alimentare";sma supermercati;"VIA PADOVA N. 224 ; isolato:232; accesso: accesso esterno; (z.d. 2)";VIA;PADOVA;224;2275;2;1120;;2148
"alimentare;non alimentare";sma supermercati;"VLE TIBALDI N. 7 ; accesso: accesso esterno; (z.d. 5)";VLE;TIBALDI;7;5234;5;990;;1620
"alimentare;non alimentare";sma supermercati alimenta;"CSO LODI N. 130 ; isolato:055; accesso: accesso esterno; (z.d. 4)";CSO;LODI;130;4068;4;862;;1478
"alimentare;non alimentare";sma supermercati alimenta;"PZA FRATTINI PIETRO N. 4 ; isolato:124; accesso: accesso esterno; (z.d. 6)";PZA;FRATTINI PIETRO;4;5389;6;3010;;4134
"alimentare;non alimentare";sma supermercati alimenta;"VIA AMMIANO MARCELLINO num.014; isolato:122; accesso: accesso esterno; (z.d. 4)";VIA;AMMIANO MARCELLINO;;4101;4;600;720;1320
"alimentare;non alimentare";sma supermercati alimenta;"VIA ASTESANI ALESSANDRO N. 46 ; isolato:052; accesso: accesso esterno; (z.d. 9)";VIA;ASTESANI ALESSANDRO;46;1558;9;705;;1685
"alimentare;non alimentare";sma supermercati alimenta;"VIA LOMELLINA N. 1 ; isolato:255; accesso: accesso esterno; (z.d. 4)";VIA;LOMELLINA;1;3280;4;840;;1450
"alimentare;non alimentare";sma supermercati alimenta;"VIA MICHELINO DA BESOZZO N. 14 ; isolato:300; accesso: accesso esterno; (z.d. 8)";VIA;MICHELINO DA BESOZZO;14;7263;8;695;;1703
"alimentare;non alimentare";sma supermercati alimenta;"VIA VENINI GIULIO E CORRADO N. 50 ; isolato:330; accesso: accesso esterno; (z.d. 2)";VIA;VENINI GIULIO E CORRADO;50;2258;2;930;;1649
"alimentare;non alimentare";special market dugan;"VIA PIER LOMBARDO N. 2 ; isolato:157; accesso: accesso esterno; (z.d. 4)";VIA;PIER LOMBARDO;2;4073;4;600;;879
"alimentare;non alimentare";standa;"PZA DELLA TRIVULZIANA N. 6 ; accesso: accesso interno; (z.d. 9)";PZA;DELLA TRIVULZIANA;6;1765;9;950;;1570
"alimentare;non alimentare";standa;"VLE UNGHERIA N. 12 ; isolato:108; accesso: accesso esterno; (z.d. 4)";VLE;UNGHERIA;12;3357;4;890;;1427
"alimentare;non alimentare";standa superfresco;"PZA DIOCLEZIANO num.004; isolato:013; accesso: accesso esterno; (z.d. 8)";PZA;DIOCLEZIANO;;7220;8;915;;915
"alimentare;non alimentare";standa superfresco;"VIA CICOGNARA LEOPOLDO N. 2 ; isolato:183; accesso: accesso esterno; (z.d. 3)";VIA;CICOGNARA LEOPOLDO;2;3106;3;2469;;4367
"alimentare;non alimentare";standa superfresco;"VIA DEI MISSAGLIA N. 22 ; isolato:056; accesso: accesso esterno; (z.d. 5)";VIA;DEI MISSAGLIA;22;5340;5;3213;;5427
"alimentare;non alimentare";standa superfresco;"VIA DELLE FORZE ARMATE N. 312 ; isolato:158; accesso: accesso esterno; (z.d. 7)";VIA;DELLE FORZE ARMATE;312;6643;7;1250;;2875
"alimentare;non alimentare";standa superfresco;"VIA PALMANOVA N. 65 ; isolato:287; accesso: accesso esterno; (z.d. 2)";VIA;PALMANOVA;65;2390;2;3323;;3323
"alimentare;non alimentare";standa superfresco;"VIA URUGUAY N. 6 ; isolato:062; accesso: accesso esterno; (z.d. 8)";VIA;URUGUAY;6;7495;8;880;;1650
"alimentare;non alimentare";standa superfresco;"VLE ESPINASSE CARLO N. 19 ; isolato:243; accesso: accesso esterno; (z.d. 8)";VLE;ESPINASSE CARLO;19;7390;8;800;;2253
"alimentare;non alimentare";super di;"VIA ORNATO LUIGI N. 148 ; isolato:010; accesso: accesso esterno; (z.d. 9)";VIA;ORNATO LUIGI;148;1591;9;1046;;2540
"alimentare;non alimentare";superdi  supermercati;"VIA MAFFUCCI ANGIOLO N. 40 ; isolato:063; accesso: accesso esterno; (z.d. 9)";VIA;MAFFUCCI ANGIOLO;40;1276;9;705;;705
"alimentare;non alimentare";supermercati di x di;"VIA SARPI FRA' PAOLO N. 41 ; isolato:109; accesso: accesso esterno; (z.d. 1)";VIA;SARPI FRA' PAOLO;41;7210;1;390;;630
"alimentare;non alimentare";supermercato;"VIA CANONICA LUIGI N. 54 ; isolato:106; accesso: accesso esterno; (z.d. 1)";VIA;CANONICA LUIGI;54;7121;1;397;;397
"alimentare;non alimentare";suprmercato dufry;"PZA DUCA D'AOSTA int.staz.centrale 1øinterrato num.000; accesso: accesso interno; (z.d. 2)";PZA;DUCA D'AOSTA;;1200;2;1038;;1732
"alimentare;non alimentare";team point;"VLE RICHARD GIULIO N. 5 spaccio interno; isolato:016; accesso: accesso interno; (z.d. 6)";VLE;RICHARD GIULIO;5;5374;6;265;;265
"alimentare;non alimentare";toys center;"VIA MACCHI MAURO N. 29 ; isolato:039; accesso: accesso esterno; (z.d. 2)";VIA;MACCHI MAURO;29;2133;2;813;227;1040
"alimentare;non alimentare";toys center;"VIA NOVARA num.083; isolato:044; accesso: accesso esterno; (z.d. 7)";VIA;CARNEVALI ANTONIO;116;1268;9;1499;;3107
"alimentare;non alimentare";toys center;"VIA PITAGORA N. 4 ; isolato:024; accesso: accesso esterno; (z.d. 2)";VIA;PITAGORA;4;2405;2;614;;614
"alimentare;non alimentare";unes;"PLE CHIESA DAMIANO N. 2 ; isolato:039; accesso: accesso esterno; (z.d. 8)";PLE;CHIESA DAMIANO;2;7164;8;650;;2003
"alimentare;non alimentare";unes;"VIA DE MARCHI EMILIO N. 10 ; accesso: accesso esterno; (z.d. 2)";VIA;DE MARCHI EMILIO;10;1418;2;814;;1350
"alimentare;non alimentare";unes;"VIA DURAZZO N. 5 ; isolato:067; accesso: accesso esterno; (z.d. 3)";VIA;DURAZZO;5;2658;3;932;;2010
"alimentare;non alimentare";unes;"VIA MURATORI LODOVICO N. 27 ; isolato:166; accesso: accesso esterno; (z.d. 4)";VIA;MURATORI LODOVICO;27;4076;4;600;;820
"alimentare;non alimentare";unes;"VIA SPALLANZANI LAZZARO N. 10 ang. via melzo; isolato:143; accesso: accesso esterno; (z.d. 3)";VIA;SPALLANZANI LAZZARO;10;2153;3;865;;1576
"alimentare;non alimentare";unes;"VIA TRILUSSA N. 26 ; isolato:063; accesso: accesso esterno; (z.d. 8)";VIA;TRILUSSA;26;7367;8;814;;2632
"alimentare;non alimentare";unes;"VIA VALLAZZE N. 87 ; isolato:035; accesso: accesso esterno; (z.d. 3)";VIA;VALLAZZE;87;2250;3;790;;790
"alimentare;non alimentare";unes;"VIA VARESINA N. 92 ; isolato:237; accesso: accesso esterno; (z.d. 8)";VIA;VARESINA;92;7290;8;300;;560
"alimentare;non alimentare";unes;"VLE BELISARIO N. 3 ; isolato:165; accesso: accesso esterno; (z.d. 8)";VLE;BELISARIO;3;6360;8;650;;1770
"alimentare;non alimentare";unes supermercati;"VIA MINERBI ARRIGO N. 1 ; isolato:075; accesso: accesso esterno; (z.d. 5)";VIA;MINERBI ARRIGO;1;5441;5;420;;840
"alimentare;non alimentare";unes supermercati;"VIA VAL DI SOLE N. 12 ; isolato:166; accesso: accesso esterno; (z.d. 5)";VIA;VAL DI SOLE;12;4295;5;310;310;620
"alimentare;non alimentare";unes  u! come tu mi vuoi;"VIA VALLAZZE N. 104 ; accesso: accesso esterno; (z.d. 3)";VIA;VALLAZZE;104;2250;3;398;;418
"alimentare;non alimentare";upim;"CSO BUENOS AIRES N. 21 ; isolato:078; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;21;2129;3;3030;;4607
"alimentare;non alimentare";upim;"PLE LORETO N. 5 ; isolato:357; accesso: accesso esterno; (z.d. 2)";PLE;LORETO;5;2264;2;2416;;3597
"alimentare;non alimentare";upim;"PZA FRATTINI PIETRO num.008; isolato:124; accesso: accesso esterno; (z.d. 6)";PZA;FRATTINI PIETRO;;5389;6;1060;;1710
"alimentare;non alimentare";upim;"VIA CUNEO N. 2 ; isolato:214; accesso: accesso esterno; (z.d. 7)";VIA;CUNEO;2;6281;7;2585;;4908
"alimentare;non alimentare";upim;"VIA FARINI CARLO N. 79 ; isolato:153; accesso: accesso esterno; (z.d. 9)";VIA;FARINI CARLO;79;1114;9;3643;;5285
"alimentare;non alimentare";upim;"VIA MANCINI LODOVICO N. 2 ; isolato:035; accesso: accesso esterno; (z.d. 4)";VIA;MANCINI LODOVICO;2;3082;4;1854;;2835
"alimentare;non alimentare";upim;"VIA POLESINE N. 39 ; isolato:055; accesso: accesso esterno; (z.d. 4)";VIA;POLESINE;39;4159;4;2637;;3777
"alimentare;non alimentare";upim;"VIA SPADARI N. 2 ;via spadari 002; isolato:438; accesso: accesso esterno; (z.d. 1)";VIA;SPADARI;2;518;1;1652;;2692
"alimentare;non alimentare";upim sma;"CSO SAN GOTTARDO num.029/31; isolato:095; accesso: accesso esterno; (z.d. 5)";CSO;SAN GOTTARDO;;5203;5;3470;;3863
"alimentare;non alimentare";upim sma;"VIA MASOLINO DA PANICALE N. 7 ; isolato:300; accesso: accesso esterno; (z.d. 8)";VIA;MASOLINO DA PANICALE;7;7264;8;1819;;2604
"alimentare;non alimentare";versace;"VIA MONTE NAPOLEONE N. 11 ;via monte napoleone 011; isolato:314; accesso: accesso esterno; (z.d. 1)";VIA;MONTE NAPOLEONE;11;219;1;454;;454
non alimentare;;BST DI PORTA VOLTA N. 7 (z.d. 1);BST;DI PORTA VOLTA;7;1066;1;380;;595
non alimentare;;CSO BUENOS AIRES N. 18 (z.d. 3);CSO;BUENOS AIRES;18;2129;3;300;;300
non alimentare;;CSO BUENOS AIRES N. 23 (z.d. 3);CSO;BUENOS AIRES;23;2129;3;381;;445
non alimentare;;"CSO BUENOS AIRES N. 2 loc. interno; isolato:143; accesso: accesso interno; (z.d. 3)";CSO;BUENOS AIRES;2;2129;3;315;17;332
non alimentare;;"CSO BUENOS AIRES N. 39 ; isolato:059; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;39;2129;3;425;;490
non alimentare;;"CSO BUENOS AIRES N. 54 ; isolato:045; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;54;2129;3;349;;349
non alimentare;;"CSO BUENOS AIRES N. 63 ; isolato:017; accesso: accesso esterno; (z.d. 3)";CSO;BUENOS AIRES;63;2129;3;812;;1073
non alimentare;;"CSO COMO N. 10 ; isolato:322; accesso: accesso interno; (z.d. 9)";CSO;COMO;10;1111;9;436;;436
non alimentare;;CSO DI PORTA TICINESE N. 12 (z.d. 1);CSO;DI PORTA TICINESE;12;541;1;926;;1190
non alimentare;;CSO EUROPA N. 22 (z.d. 1);CSO;EUROPA;22;300;1;1496;;2260
